id	title	url
X6FeDRMMxWQ	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY9 小西さん 1/2	https://www.youtube.com/watch?v=X6FeDRMMxWQ
X8152gl1iog	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY10 大矢さん 1/2	https://www.youtube.com/watch?v=X8152gl1iog
W-9hFemnlao	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY10 大矢さん 2/2	https://www.youtube.com/watch?v=W-9hFemnlao
wrROmUrIJ5w	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY11 講師高山さん 1/2	https://www.youtube.com/watch?v=wrROmUrIJ5w
wqDWs5tFcqE	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY11 講師高山さん 2/2	https://www.youtube.com/watch?v=wqDWs5tFcqE
olMyhxwSe_M	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY12 講師川村さん 1/2	https://www.youtube.com/watch?v=olMyhxwSe_M
LH4U4bIlVCY	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY12 講師川村さん 2/2	https://www.youtube.com/watch?v=LH4U4bIlVCY
MdHcb5m23ig	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY1３ 講師藤川さん	https://www.youtube.com/watch?v=MdHcb5m23ig
wl23x70VlDI	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY14 講師合作（川村さん・我田さん・高山さん）（こちらも一緒にみてください　https://youtu.be/fI66aFJz2AU）	https://www.youtube.com/watch?v=wl23x70VlDI
Ne0_kSgERyk	第10期コース２MVP　小西さんインタビュー	https://www.youtube.com/watch?v=Ne0_kSgERyk
2CDttapr_Q0	アルデュエックス・ジャパン株式会社　設立にあたり　Randy Interview 1	https://www.youtube.com/watch?v=2CDttapr_Q0
-JuY289mrx4	ドローンエンジニア養成塾　１１期KickOff　DEMO1	https://www.youtube.com/watch?v=-JuY289mrx4
jo7q4XvvV18	ドローンエンジニア養成塾第１１期KickOff DEMO2	https://www.youtube.com/watch?v=jo7q4XvvV18
6IUYCMpducY	ドローンエンジニア養成塾第１１期KickOff　DEMO3	https://www.youtube.com/watch?v=6IUYCMpducY
VKxM1yZ5zus	ドローンエンジニア養成塾第１１期KickOff　DEMO4	https://www.youtube.com/watch?v=VKxM1yZ5zus
mLWH2GMk1R4	ドローンエンジニア養成塾第１１期KickOff  DEMO5	https://www.youtube.com/watch?v=mLWH2GMk1R4
MAowG9F7-dI	ドローンエンジニア養成塾第１１期KickOff　DEMO6	https://www.youtube.com/watch?v=MAowG9F7-dI
5xVjMj4ydQM	ドローンエンジニア養成塾第１１期KickOff　DEMO7	https://www.youtube.com/watch?v=5xVjMj4ydQM
sa3cfuK8eLA	１・太田さん　自作４インチミニコプター　自動ミッション航行　1/2	https://www.youtube.com/watch?v=sa3cfuK8eLA
vsc7kUg0ZWI	１・太田さん　自作４インチミニコプター　自動ミッション航行　2/2	https://www.youtube.com/watch?v=vsc7kUg0ZWI
8XYaP_0Xmzc	2・川崎さん　オリジナルDIY＋CC　初航行　次に向けていざ！	https://www.youtube.com/watch?v=8XYaP_0Xmzc
HB2v_elGp-8	３・山崎さん　一点継続指向航行（コース３チームNewFlightMode）1/2	https://www.youtube.com/watch?v=HB2v_elGp-8
