upload_date	period	course	tags	title	url	views
20250808	10		コプター|機体製作(ハード)	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY7 山下さん 2/2	https://www.youtube.com/watch?v=6CACeZVzZCc	6
20250808	10		コプター|機体製作(ハード)|プログラムチャレンジ|カメラ系|Web系|自律/ミッション	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY8 小西さん 1/2	https://www.youtube.com/watch?v=37pPVdp3WSk	14
20250808	10		コプター|機体製作(ハード)|自律/ミッション	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY8 小西さん 2/2	https://www.youtube.com/watch?v=xKObYq-CLzk	15
20250808	10		コプター|機体製作(ハード)|カメラ系|Web系	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY9 小西さん 2/2	https://www.youtube.com/watch?v=K4tfpLdbkmc	11
20250808	10		コプター|機体製作(ハード)|プログラムチャレンジ|カメラ系|Web系	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY9 小西さん 1/2	https://www.youtube.com/watch?v=X6FeDRMMxWQ	13
20250808	10	1	コプター|機体製作(ハード)|プログラムチャレンジ|自律/ミッション	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY10 大矢さん 1/2	https://www.youtube.com/watch?v=X8152gl1iog	4
20250808	10	1	コプター|機体製作(ハード)|自律/ミッション	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY10 大矢さん 2/2	https://www.youtube.com/watch?v=W-9hFemnlao	8
20250808	10		ローバー|機体製作(ハード)|自律/ミッション	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY11 講師高山さん 1/2	https://www.youtube.com/watch?v=wrROmUrIJ5w	9
20250808	10		ローバー|機体製作(ハード)|自律/ミッション	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY11 講師高山さん 2/2	https://www.youtube.com/watch?v=wqDWs5tFcqE	7
20250808	10		コプター|機体製作(ハード)|プログラムチャレンジ|自律/ミッション	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY12 講師川村さん 1/2	https://www.youtube.com/watch?v=olMyhxwSe_M	5
20250808	10		コプター|機体製作(ハード)|プログラムチャレンジ|自律/ミッション	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY12 講師川村さん 2/2	https://www.youtube.com/watch?v=LH4U4bIlVCY	6
20250808	10		コプター|機体製作(ハード)|カメラ系	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY1３ 講師藤川さん	https://www.youtube.com/watch?v=MdHcb5m23ig	18
20250808	10		コプター|機体製作(ハード)|プログラムチャレンジ|カメラ系|自律/ミッション|シミュレータ	ドローンエンジニア養成塾 第10期フライトエクスペリエンス　DIY14 講師合作（川村さん・我田さん・高山さん）（こちらも一緒にみてください　https://youtu.be/fI66aFJz2AU）	https://www.youtube.com/watch?v=wl23x70VlDI	25
20250808	10	2	機体製作(ハード)|プログラムチャレンジ|カメラ系|Web系|コンパニオン|自律/ミッション|シミュレータ	第10期コース２MVP　小西さんインタビュー	https://www.youtube.com/watch?v=Ne0_kSgERyk	5
20250808			コプター|カメラ系|大型/産業機|自律/ミッション|障害物回避|測量/点検	アルデュエックス・ジャパン株式会社　設立にあたり　Randy Interview 1	https://www.youtube.com/watch?v=2CDttapr_Q0	412
20250808	11		Web系|自律/ミッション|障害物回避	ドローンエンジニア養成塾　１１期KickOff　DEMO1	https://www.youtube.com/watch?v=-JuY289mrx4	57
20250808	11		コプター|カメラ系|大型/産業機|自律/ミッション|障害物回避|農業|測量/点検	ドローンエンジニア養成塾第１１期KickOff DEMO2	https://www.youtube.com/watch?v=jo7q4XvvV18	20
20250808	11		コプター|自律/ミッション	ドローンエンジニア養成塾第１１期KickOff　DEMO3	https://www.youtube.com/watch?v=6IUYCMpducY	42
20250808	11		コプター|プログラムチャレンジ|カメラ系|Web系|コンパニオン|小型機	ドローンエンジニア養成塾第１１期KickOff　DEMO4	https://www.youtube.com/watch?v=VKxM1yZ5zus	45
20250808	11		コプター|カメラ系	ドローンエンジニア養成塾第１１期KickOff  DEMO5	https://www.youtube.com/watch?v=mLWH2GMk1R4	46
20250808	11		コプター|プログラムチャレンジ|カメラ系	ドローンエンジニア養成塾第１１期KickOff　DEMO6	https://www.youtube.com/watch?v=MAowG9F7-dI	72
20250808	11		プログラムチャレンジ|カメラ系|Web系|コンパニオン|自律/ミッション|障害物回避	ドローンエンジニア養成塾第１１期KickOff　DEMO7	https://www.youtube.com/watch?v=5xVjMj4ydQM	46
20250808			コプター|機体製作(ハード)|小型機|自律/ミッション	１・太田さん　自作４インチミニコプター　自動ミッション航行　1/2	https://www.youtube.com/watch?v=sa3cfuK8eLA	34
20250808			コプター|機体製作(ハード)|小型機|自律/ミッション	１・太田さん　自作４インチミニコプター　自動ミッション航行　2/2	https://www.youtube.com/watch?v=vsc7kUg0ZWI	27
20250808			コプター|機体製作(ハード)	2・川崎さん　オリジナルDIY＋CC　初航行　次に向けていざ！	https://www.youtube.com/watch?v=8XYaP_0Xmzc	40
20250808		3	コプター|プログラムチャレンジ|コンパニオン	３・山崎さん　一点継続指向航行（コース３チームNewFlightMode）1/2	https://www.youtube.com/watch?v=HB2v_elGp-8	24
20250808		3	コプター|プログラムチャレンジ|カメラ系	３・山崎さん　一点継続指向航行（コース３チームNewFlightMode）２/2	https://www.youtube.com/watch?v=PELiwxya3x8	36
20250808			プログラムチャレンジ|Web系|コンパニオン|自律/ミッション	４・山崎さん　ラズパイWifiサーバーにPCからオートミッション　1/2	https://www.youtube.com/watch?v=tq04-6OUY8s	16
20250808			Web系|コンパニオン|自律/ミッション	４・山崎さん　ラズパイWifiサーバーにPCからオートミッション　２/2	https://www.youtube.com/watch?v=ZL6yaBOclss	15
20250808	10		コプター|機体製作(ハード)	５・渋谷さん　３DプリンタIRIS　１０期から大いなる成長の巻	https://www.youtube.com/watch?v=cPe-aNAG8AA	39
20250808			カメラ系|コンパニオン	６・渋谷さん　IRIS with ラズパイ　アルコ追従航行	https://www.youtube.com/watch?v=gwzSP2dhjPg	35
20250808			コプター|機体製作(ハード)	７・青葉さん　初DIY445　安定の航行成功！　1/2	https://www.youtube.com/watch?v=9aeyP12A6-I	21
20250808			コプター|機体製作(ハード)	７・青葉さん　初DIY445　安定の航行成功！　2/2	https://www.youtube.com/watch?v=i-MeApW08wQ	22
20250808			コプター|機体製作(ハード)|カメラ系	8・伊藤さん　DIY初チャレンジ　次回に乞うご期待！	https://www.youtube.com/watch?v=sHiewnkb5dM	21
20250808			ローバー|カメラ系|障害物回避	９・太田さん　３６０カメラローバー　Obstacle Avoidance Bendy Ruler　1/2	https://www.youtube.com/watch?v=qRcRRotXoBE	23
20250808			ローバー|機体製作(ハード)|カメラ系|自律/ミッション|障害物回避	９・太田さん　３６０カメラローバー　Obstacle Avoidance Bendy Ruler　2/2	https://www.youtube.com/watch?v=1DoRaDLEdhs	25
20250808			コプター|非GPS|コンパニオン	10・渋谷さん　４４５ w/ラズパイ　T265 SLAM (Non GPS) フライト	https://www.youtube.com/watch?v=ak2YtIPHNUU	31
20250808			コプター|機体製作(ハード)	１１・鈴木さん　３DプリンターDIYフレーム　リベンジ達成！	https://www.youtube.com/watch?v=qX0IXn6iV9k	18
20250808			ローバー|機体製作(ハード)|RTK/高精度測位	１２・古橋さん　自作ローバーネットワークRTK自動走行　まもなく完成！	https://www.youtube.com/watch?v=nUflkA2Yqeg	24
20250808			自律/ミッション	１３・森山さん　SOLOにOrangeCube　オートミッション初成功！　1/2	https://www.youtube.com/watch?v=o3Eu7h9XhZ0	20
20250808			自律/ミッション	１３・森山さん　SOLOにOrangeCube　オートミッション初成功！　２/2	https://www.youtube.com/watch?v=eurvnmCHJNU	15
20250808			ローバー	１４・徳毛さん　ローバーオートまもなく完成　おじさまたちに支えられ！？	https://www.youtube.com/watch?v=2q6c5ytM-I4	29
20250808			プログラムチャレンジ	１５・阿部さん　DroneKitオートプログラム　３度めの正直	https://www.youtube.com/watch?v=P9UaZPRFS2c	21
20250808			ボート|自律/ミッション	１6・我田先生　ボートオートミッション・・・のはず！？	https://www.youtube.com/watch?v=_WQ7BGJhb2M	38
20250808			ボート	１７・川村先生　ボートチューニングレッスン	https://www.youtube.com/watch?v=b9eOiQ5ErpA	31
20250808	12		プログラムチャレンジ|非GPS|ローバー	ドローンエンジニア養成塾 第１２期キックオフデモ　藤川先生　（四足歩行ロボット＋NonGPS自己位置推定）	https://www.youtube.com/watch?v=j-XFcGr0OoM	24
20250808	12		ローバー	ドローンエンジニア養成塾 第１２期キックオフデモ　Randy先生　（技適取得済HereLinkによるローバーSカーブナビゲーション）	https://www.youtube.com/watch?v=RBcDvzM9IUo	20
20250808	12		ローバー|プログラムチャレンジ|Web系|コンパニオン|自律/ミッション	ドローンエンジニア養成塾 第１２期キックオフデモ　我田先生　（CO2濃度＋位置情報のローバー計測クラウドシステム）	https://www.youtube.com/watch?v=vHgM8-kIGa4	29
20250808	12		コプター|機体製作(ハード)	ドローンエンジニア養成塾 第１２期キックオフデモ　卒業生渋谷さん　（３DプリンターDIY IRIS　改良進化中）	https://www.youtube.com/watch?v=p7b5UKwH4fQ	20
20250808	12		ローバー|機体製作(ハード)|自律/ミッション	ドローンエンジニア養成塾 第１２期キックオフデモ　高山先生　（ラジコンローバーのAP制御  DIYの配慮点）1/2	https://www.youtube.com/watch?v=Od2LIPwqGZ0	14
20250808	12		ローバー|機体製作(ハード)|自律/ミッション	ドローンエンジニア養成塾 第１２期キックオフデモ　高山先生　（ラジコンローバーのAP制御  DIYの配慮点）2/2	https://www.youtube.com/watch?v=RdHijdlXce4	20
20250808	12		コプター|機体製作(ハード)|プログラムチャレンジ	ドローンエンジニア養成塾 第１２期キックオフデモ　川村先生　（Crash　 Recovery Mode!  ArduPilot Global Community 初公開　1/2	https://www.youtube.com/watch?v=CvMs3AhvkNg	22
20250808	12		コプター	ドローンエンジニア養成塾 第１２期キックオフデモ　川村先生　（Crash　 Recovery Mode!  ArduPilot Global Community 初公開　2/2	https://www.youtube.com/watch?v=3tgUDxc2Wjc	24
20250808	12		コプター|プログラムチャレンジ|非GPS|コンパニオン	ドローンエンジニア養成塾 第１２期キックオフデモ　卒業生渋谷さん　（４４５ w/ ラズパイ T265　SLAM NonGPS フライト)	https://www.youtube.com/watch?v=w_lud0D8-5A	19
20250808	12		コプター	ドローンエンジニア養成塾 第１２期キックオフデモ　卒業生川崎さん　（リベンジマッチ？　8羽ー＞7羽 ホバリング フライト)	https://www.youtube.com/watch?v=W8vyF1lWbvM	29
20250808	12		プログラムチャレンジ|カメラ系	ドローンエンジニア養成塾 第１２期キックオフデモ　卒業生渋谷さん　（アルコマーカー追随航行プログラム)	https://www.youtube.com/watch?v=zzsKR9S7OeU	19
20250808	12		コプター|機体製作(ハード)	ドローンエンジニア養成塾 第１２期キックオフデモ　卒業生大矢さん　（445 DIY 初フライト成功！)	https://www.youtube.com/watch?v=__hDHD9g8U8	24
20250808	12			ドローンエンジニア養成塾 第１２期キックオフデモ　川村先生＆Randy先生のメッセージ	https://www.youtube.com/watch?v=0AszUkUZM7c	24
20250808	12		コプター|機体製作(ハード)|自律/ミッション	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　渡邊さん 1/2（450 DIY 初組みあげ・オートミッションフライト成功！)	https://www.youtube.com/watch?v=RXgCU6z7v-I	22
20250808	12		コプター|機体製作(ハード)|自律/ミッション	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　渡邊さん 2/2（450 DIY 初組みあげ・オートミッションフライト成功！)	https://www.youtube.com/watch?v=zL_vmaQghsI	16
20250808	12		コプター|機体製作(ハード)|自律/ミッション	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　山梨さん 1/2（450 DIY 初組みあげ・オートミッションフライト成功！)	https://www.youtube.com/watch?v=vnNxkEtP4H0	20
20250808	12		コプター|機体製作(ハード)|自律/ミッション	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　山梨さん 2/2（450 DIY 初組みあげ・オートミッションフライト成功！)	https://www.youtube.com/watch?v=l9A6aCZznOU	14
20250808	12		コプター|機体製作(ハード)|カメラ系	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　浅野さん 1/2（初組み上げにS500、無事安定航行。そして目標のシングルコプター制作に向けてGO！ )	https://www.youtube.com/watch?v=npRhVknHuQY	17
20250808	12		コプター|機体製作(ハード)	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　浅野さん 2/2（初組み上げにS500、無事安定航行。そして目標のシングルコプター制作に向けてGO！ )	https://www.youtube.com/watch?v=DAVV9Gtw8Ns	17
20250808	12		コプター|機体製作(ハード)	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　吉田さん 1/2（初組み上げにF550、調整中。まもなく完成！ )	https://www.youtube.com/watch?v=TE6xsnssn2g	18
20250808	12		コプター|機体製作(ハード)	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　吉田さん 2/2（初組み上げにF550、調整中。まもなく完成！ )	https://www.youtube.com/watch?v=RNDDwnlqNhM	12
20250808	12		コプター|機体製作(ハード)	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　菊池さん 1/2（初組み上げに”アーム収納式”コプター、調整中。乞うご期待！ )	https://www.youtube.com/watch?v=xkw8pXThhMo	13
20250808	12		コプター|機体製作(ハード)	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　菊池さん 2/2（初組み上げに”アーム収納式”コプター、調整中。乞うご期待！ )	https://www.youtube.com/watch?v=PQjDOXGajfw	16
20250808	12		ローバー|機体製作(ハード)	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　渡辺さん 1/2（初組み上げにローバー。PS4のゲームパッドをプロポに採用。徹底的にコストダウンさせた最安値ローバー完成！ )	https://www.youtube.com/watch?v=C9ee78aQj8U	18
20250808	12		ローバー|機体製作(ハード)	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　渡辺さん 2/2（初組み上げにローバー。PS4のゲームパッドをプロポに採用。徹底的にコストダウンさせた最安値ローバー完成！ )	https://www.youtube.com/watch?v=xtX1AiqqNas	23
20250808	12		コプター|ローバー|機体製作(ハード)	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　日笠さん＆山田さんチーム（走行中のローバーにコプター追従しつつ着陸。に向け鋭意奮闘中！ )	https://www.youtube.com/watch?v=mm394UjCP8A	21
20250808	12		ローバー|自律/ミッション	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　山田さん（クローラーオートミッション走行にむけ調整中。乞うご期待！ )	https://www.youtube.com/watch?v=K6hpy7n80ZU	18
20250808	12		ローバー|機体製作(ハード)|プログラムチャレンジ|カメラ系|コンパニオン	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　徳毛さん（ラズパイカメラがアルコマーカーを認識し自作ローバー始動！ドローンキットPythonプログラムデモ！)	https://www.youtube.com/watch?v=cu9XzYJ7CnQ	33
20250808	12		コプター|機体製作(ハード)	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　中村さん（初組み上げ、初フライト、そして初操作！　日没ぎりぎりに間に合いました！)	https://www.youtube.com/watch?v=qbqsVbeldc4	23
20250808	12		コプター	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　渋谷さん 1/2（渋谷さんのアルコマーカー追従システム進化版！前回のデモと一緒にご覧あれ	https://www.youtube.com/watch?v=bsdOeuGKsLI	20
20250808	12		コプター	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　渋谷さん 2/2（渋谷さんのアルコマーカー追従システム進化版！前回のデモと一緒にご覧あれ	https://www.youtube.com/watch?v=cxIFNknumUA	34
20250808	12		コプター|機体製作(ハード)	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　川村さん 1/2（世界初モーターインロックモード！）	https://www.youtube.com/watch?v=zBiNifiDaJM	18
20250808	12		コプター|機体製作(ハード)	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　川村さん 2/2（世界初モーターインロックモード！）	https://www.youtube.com/watch?v=MbxQbMIkKNU	22
20250808	12	1	機体製作(ハード)|プログラムチャレンジ|カメラ系|Web系|自律/ミッション|測量/点検	ドローンエンジニア養成塾１２期　コース１　中村さんインタビュー	https://www.youtube.com/watch?v=J8JtkejzByM	71
20250808	12	1	カメラ系|Web系	ドローンエンジニア養成塾１２期　コース１　浅野さんインタビュー	https://www.youtube.com/watch?v=zMhuagBw_dU	36
20250808	12	3	ローバー|水中機|機体製作(ハード)|プログラムチャレンジ|障害物回避|シミュレータ	ドローンエンジニア養成塾１２期　コース３　Team "Grover" インタビューDEMO	https://www.youtube.com/watch?v=4_GiDT6BkVo	55
20250808	12	2	コプター|機体製作(ハード)|プログラムチャレンジ|カメラ系|Web系|自律/ミッション	ドローンエンジニア養成塾１２期　コース２　安河内さんインタビュ	https://www.youtube.com/watch?v=AMr7dOCYigE	49
20250808	12		コプター|プログラムチャレンジ|カメラ系	ドローンエンジニア養成塾１２期　総合MVP　山田さんインタビュ	https://www.youtube.com/watch?v=uRNG-SIxA2o	46
20250808	12		コプター|プログラムチャレンジ|Web系|自律/ミッション	ドローンエンジニア養成塾１２期　ArduPiot Script Generator!?  (山田さんDEMO)	https://www.youtube.com/watch?v=K3X2Ge-oHqM	43
20250808				ArduPilot	https://www.youtube.com/watch?v=mLL57w_rDjw	3
20250808	13		コプター|プログラムチャレンジ|自律/ミッション	１・Fast Decent by Randy (1/3)	https://www.youtube.com/watch?v=jV67Q0QBV7s	14
20250808			コプター	１・Fast Decent by Randy (2/3)	https://www.youtube.com/watch?v=yttRixnhEHk	13
20250808			コプター	１・Fast Decent by Randy (3/3)	https://www.youtube.com/watch?v=Kj1egUF0Jjk	11
20250808			コプター|機体製作(ハード)|プログラムチャレンジ|コンパニオン|マイクロ機	2. 環境monitoring solution (fc w/sensor to python program on CC) by DIY mini-copter By 我田先生（1/4)	https://www.youtube.com/watch?v=8B-TtH42IAw	10
20250808			コプター|機体製作(ハード)|プログラムチャレンジ|マイクロ機	2. 環境monitoring solution (fc w/sensor to python program on CC) by DIY mini-copter By 我田先生（2/4)	https://www.youtube.com/watch?v=gcRuKALQqhM	28
20250808			コプター|機体製作(ハード)|プログラムチャレンジ|マイクロ機	2. 環境monitoring solution (fc w/sensor to python program on CC) by DIY mini-copter By 我田先生（3/4)	https://www.youtube.com/watch?v=MFAljkksIak	12
20250808			コプター|機体製作(ハード)|プログラムチャレンジ|Web系|マイクロ機	2. 環境monitoring solution (fc w/sensor to python program on CC) by DIY mini-copter By 我田先生（4/4)	https://www.youtube.com/watch?v=1LsiewyXpok	7
20250808			コプター|機体製作(ハード)|カメラ系|小型機	3. 有線給電minicopter, 350v downed to 24v via converter → log analysis for trouble shooting By 太田さん(1/3)	https://www.youtube.com/watch?v=P3G7FSiQrJA	9
20250808			コプター|小型機	3. 有線給電minicopter, 350v downed to 24v via converter → log analysis for trouble shooting By 太田さん(2/3)	https://www.youtube.com/watch?v=8UFwOfZmJhI	12
20250808			コプター|小型機	3. 有線給電minicopter, 350v downed to 24v via converter → log analysis for trouble shooting By 太田さん(3/3)	https://www.youtube.com/watch?v=O8yHQms_ubk	29
20250808			コプター|機体製作(ハード)|カメラ系|非GPS	4. stable robustness oct copter for Indoor inspection, and aiming for non GPS auto By 山口さん　(1/3)	https://www.youtube.com/watch?v=0Svqg-yvLUE	16
20250808			コプター|非GPS	4. stable robustness oct copter for Indoor inspection, and aiming for non GPS auto By 山口さん　(2/3)	https://www.youtube.com/watch?v=wBPsV8g1S4k	17
20250808			コプター|カメラ系|非GPS|障害物回避	4. stable robustness oct copter for Indoor inspection, and aiming for non GPS auto By 山口さん　(3/3)	https://www.youtube.com/watch?v=gS8y3H-wedk	10
20250808			ローバー|水中機|カメラ系	５・ROVER guided mode following ArUco marker By 徳毛さん 1/3	https://www.youtube.com/watch?v=jhGet97QtAA	10
20250808			ローバー|水中機	５・ROVER guided mode following ArUco marker By 徳毛さん 2/3	https://www.youtube.com/watch?v=jF_hEqCQ-cw	16
20250808			ローバー|水中機|機体製作(ハード)	５・ROVER guided mode following ArUco marker By 徳毛さん 3/3	https://www.youtube.com/watch?v=Turecgozqrc	22
20250808			コプター|プログラムチャレンジ|カメラ系|コンパニオン	6-1. VIDEO processing (輪郭検出 & 2値化) via  drone  w/cc camera toward python team programming By 渋谷さん	https://www.youtube.com/watch?v=-iIyiZ3RwDo	9
20250808			コプター|機体製作(ハード)|プログラムチャレンジ|Web系|コンパニオン	７・ drone as IOT connected to cloud (non flightcode dependecy without cc by LUA script) By 川村さん	https://www.youtube.com/watch?v=-oNd149B75U	9
20250808			コプター|カメラ系	6-2・Virtual joy stick toward video control system By 渋谷さん	https://www.youtube.com/watch?v=kR8EooyKAYU	8
20250808			コプター|プログラムチャレンジ	8. flip mode!  (new flight mode) By 今野さん 1/2	https://www.youtube.com/watch?v=X1IrYodpb6M	12
20250808			ローバー|機体製作(ハード)|カメラ系|自律/ミッション	9. DIY apローバー fpv via herelink.By 高山さん	https://www.youtube.com/watch?v=SBmVjBNGIcA	29
20250808			コプター|プログラムチャレンジ	8. flip mode!  new flight mode By 今野さん 2/2	https://www.youtube.com/watch?v=wDBb7kmWVP8	27
20250808			コプター|非GPS	10. dead reckoning (fc/imuのみでのnonGPS!?) By Randy 1/4	https://www.youtube.com/watch?v=a8m9bzc3lBQ	7
